doi,doi + link,pdf?,Ref,double-checked,name,AA,AA_location,temper,temper_location,size,dir,YS [MPa],YS [MPa]_location,UTS [MPa],UTS [MPa]_location,elong [%],elong [%]_location,Hardness,Hardness_location,Hardness UNIT,Hardness UNIT_location,Has comp [True / False / nominal],Has comp [True / False / nominal]_location,Cu,Cu_location,Mn,Mn_location,Si,Si_location,Mg,Mg_location,Zn,Zn_location,Cr,Cr_location,Fe,Fe_location,Ti,Ti_location,Zr,Zr_location,Ag,Ag_location,Be,Be_location,Bi,Bi_location,C,C_location,Ca,Ca_location,Ce,Ce_location,Er,Er_location,Ga,Ga_location,Ge,Ge_location,Hf,Hf_location,La,La_location,Li,Li_location,Ni,Ni_location,P,P_location,Pb,Pb_location,Sc,Sc_location,Sn,Sn_location,Sr,Sr_location,V,V_location,Yb,Yb_location,Other properties / data,Microstructure [None / OM / SEM / EBSD / TEM / APT],doi,Pfeiffer_no,series,who added,Notes,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1007/s11661-016-3375-0,10.1007/s11661-016-3375-0,,Kolahgar2016,TRUE,1.5,1100,"Page Text, Table Caption",H18,"Page Text, Table Caption",1.5,,180.2,Table Column,191.3,Table Column,4.8,Table Column,,,,,TRUE,Table Column,0.08,Table Column,0.05,Table Column,0.2,Table Column,,Not Present,0.05,Table Column,,Not Present,0.42,Table Column,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,0.01,Table Column,,Not Present,,,10.1007/s11661-016-3375-0,4,1000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-016-3375-0,10.1007/s11661-016-3375-0,,Kolahgar2016,TRUE,2,1100,"Page Text, Table Caption",H18,"Page Text, Table Caption",2,,177.2,Table Column,188.3,Table Column,5.6,Table Column,,,,,TRUE,Table Column,0.08,Table Column,0.05,Table Column,0.2,Table Column,,Not Present,0.05,Table Column,,Not Present,0.42,Table Column,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,0.01,Table Column,,Not Present,,,10.1007/s11661-016-3375-0,5,1000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-016-3375-0,10.1007/s11661-016-3375-0,,Kolahgar2016,TRUE,2.5,1100,"Page Text, Table Caption",H18,"Page Text, Table Caption",2.5,,165.3,Table Column,175.3,Table Column,6.2,Table Column,,,,,TRUE,Table Column,0.08,Table Column,0.05,Table Column,0.2,Table Column,,Not Present,0.05,Table Column,,Not Present,0.42,Table Column,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,,Not Present,0.01,Table Column,,Not Present,,,10.1007/s11661-016-3375-0,6,1000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.046,10.1016/j.msea.2012.12.046,Y,Abdulstaar2013,TRUE,As-received,1050,"Page Text, Table Caption",,Not Present,,,20,Table Column,72,Table Column,120,Table Column,23,Page Text,HV,Page Text,TRUE,Table Column,,Not Present,0.055,Table Column,0.095,Table Column,0.025,Table Column,0.013,Table Column,,,0.135,Table Column,0.015,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,Table Column,,,,EBSD,10.1016/j.msea.2012.12.046,7,1000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.08.038,10.1016/j.msea.2014.08.038,Y,Fu2014,TRUE,2A97,,Not Present,T4,Page Text,,,,Not Present,443.5,Table Column,18.5,Table Column,128,Page Text,HV,Page Text,TRUE,Table Column,3.9,Table Column,0.3,Table Column,,,0.42,Table Column,0.44,Table Column,,,0.12,Table Column,,,0.15,Table Column,0.24,Table Column,,,,,,,,,,,,,,,,,,,,,1.4,Table Column,,,,,,,,,,,,,,,,,,"OM, XRD",10.1016/j.msea.2014.08.038,34,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2017.04.024,10.1016/j.jmatprotec.2017.04.024,Y,Zhou2017,TRUE,2A12,,Not Present,T4,"Page Text, Table Caption, Table Column",,,334.5,Table Column,448.5,Table Column,17.2,Table Column,,Not Present,,Not Present,nominal,Table Column,4.35,Table Column,0.6,Table Column,,,1.5,Table Column,0.1,Table Column,,,0.5,Table Column,0.5,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,Table Column,,,,,,,,,,,,,,,,,10.1016/j.jmatprotec.2017.04.024,35,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-013-1778-8,10.1007/s11661-013-1778-8,,Zhang2013,TRUE,3.8 to 4.9,2024,"Page Text, Table Caption",T351,"Page Text, Table Caption",,,338,Table Column,480,Table Column,21,Table Column,,,,,nominal,Table Column,4.35,Table Column,0.6,Table Column,,,1.5,Table Column,0.25,Table Column,,,0.5,Table Column,0.15,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-013-1778-8,36,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-016-3807-x,10.1007/s11661-016-3807-x,,Sarkar2017,TRUE,T87 (Starting Condition),2219,"Page Text, Table Caption, Table Header",T87,"Page Text, Table Header, Table Cell",,,394,"Table Column, Page Text",485,Table Column,14,Table Column,136,Table Column,BHN,Table Header,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HT tests,,10.1007/s11661-016-3807-x,40,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2008.03.017,10.1016/j.msea.2008.03.017,Y,Hata2008,TRUE,2195-T8,2195,"Page Text, Table Header",T8,"Page Text, Table Header",,,503,Table Column,537,Table Column,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/j.msea.2008.03.017,45,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.matlet.2013.08.093,10.1016/j.matlet.2013.08.093,Y,He2013,TRUE,T4,2024,"Page Text, Table Header",T4,"Page Text, Table Header",,,,,457,Table Column,21,Table Column,,,,,nominal,Page Text,4.35,Page Text,0.6,Page Text,0.5,Page Text,1.5,Page Text,0.25,Page Text,0.1,Page Text,0.5,Page Text,0.15,Page Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2013.08.093,46,2000,,,journal_article,Materials Letters,Elsevier BV,TRUE,FALSE,FALSE
