doi,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1007/s11661-016-3375-0,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2012.12.046,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.08.038,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2017.04.024,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1007/s11661-013-1778-8,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1007/s11661-016-3807-x,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2008.03.017,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.matlet.2013.08.093,journal_article,Materials Letters,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2008.04.020,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1007/s11663-016-0611-3,journal_article,Metallurgical and Materials Transactions B,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2016.12.087,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1007/s11661-010-0377-1,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1007/s10853-009-3735-x,journal_article,Journal of Materials Science,Springer Science and Business Media LLC,True,True,True
10.1016/j.matdes.2015.08.003,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1007/s11661-014-2207-3,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.matdes.2015.06.044,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1016/j.msea.2009.04.049,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1007/s11661-008-9739-3,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2011.08.015,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2012.07.064,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2010.12.045,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.scriptamat.2011.12.011,journal_article,Scripta Materialia,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2007.08.070,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.scriptamat.2006.04.013,journal_article,Scripta Materialia,Elsevier BV,True,False,True
10.1016/j.matdes.2007.11.005,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1016/j.msea.2006.04.087,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1007/s11661-016-3332-y,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.matdes.2016.08.004,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1016/s0921-5093(00)01912-2,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.12.002,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2011.11.025,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.10.029,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2013.08.001,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2007.02.100,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2015.04.104,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.12.026,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2004.10.014,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2008.07.033,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2006.07.169,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2016.06.021,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/s0924-0136(03)00806-9,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1007/s11665-011-0060-8,journal_article,Journal of Materials Engineering and Performance,Springer Science and Business Media LLC,True,True,True
10.1007/s11665-014-0875-1,journal_article,Journal of Materials Engineering and Performance,Springer Science and Business Media LLC,True,True,True
10.1016/j.jmatprotec.2017.12.042,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2018.01.010,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.commatsci.2010.06.018,journal_article,Computational Materials Science,Elsevier BV,True,False,True
10.1016/j.jallcom.2016.05.247,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2016.05.317,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2009.10.185,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2013.09.202,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2017.12.045,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2013.08.214,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.corsci.2011.09.021,journal_article,Corrosion Science,Elsevier BV,True,False,True
10.1016/s0013-7944(98)00101-5,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.engfracmech.2011.05.005,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.engfracmech.2010.08.021,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.engfracmech.2007.04.013,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.engfailanal.2010.08.007,journal_article,Engineering Failure Analysis,Elsevier BV,True,False,True
10.1016/j.engfailanal.2008.10.016,journal_article,Engineering Failure Analysis,Elsevier BV,True,False,True
10.1016/j.msea.2018.07.003,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1007/s11661-014-2494-8,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2012.12.029,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.actamat.2011.10.029,journal_article,Acta Materialia,Elsevier BV,True,False,True
10.1007/s11661-014-2515-7,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2015.03.021,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2013.03.084,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.05.059,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2004.08.056,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2011.11.026,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2011.01.041,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.01.009,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2016.01.030,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.jallcom.2017.04.084,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.wear.2007.05.011,journal_article,Wear,Elsevier BV,True,False,True
10.1016/j.engfracmech.2013.11.016,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1007/s11837-016-1896-z,journal_article,JOM,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2016.12.107,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2016.04.029,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2017.07.031,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.matchar.2018.04.045,journal_article,Materials Characterization,Elsevier BV,True,False,True
10.1016/j.actamat.2010.01.037,journal_article,Acta Materialia,Elsevier BV,True,False,True
10.1007/s11661-012-1121-9,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.jmatprotec.2012.02.008,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.msea.2012.06.076,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.actamat.2007.01.006,journal_article,Acta Materialia,Elsevier BV,True,False,True
10.1016/j.optlastec.2012.06.019,journal_article,Optics & Laser Technology,Elsevier BV,True,False,True
10.1007/s10853-010-4609-y,journal_article,Journal of Materials Science,Springer Science and Business Media LLC,True,True,True
10.1016/j.jmatprotec.2017.01.029,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1007/978-3-319-00765-6_8,book_content,Conference Proceedings of the Society for Experimental Mechanics Series,Springer Science and Business Media LLC,True,True,False
10.1016/j.solmat.2017.06.063,journal_article,Solar Energy Materials and Solar Cells,Elsevier BV,True,False,True
10.1016/j.apsusc.2006.02.060,journal_article,Applied Surface Science,Elsevier BV,True,False,True
10.1016/j.msea.2015.06.036,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/s0921-5093(02)00456-2,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/s0921-5093(00)00805-4,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2016.10.027,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2015.06.046,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2015.07.059,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2012.09.044,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.10.012,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2012.01.125,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2014.08.016,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2017.09.034,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2017.11.031,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.matchar.2007.09.006,journal_article,Materials Characterization,Elsevier BV,True,False,True
10.1016/j.wear.2012.07.026,journal_article,Wear,Elsevier BV,True,False,True
10.1016/j.engfracmech.2013.01.011,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.engfracmech.2017.11.006,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.matdes.2016.02.011,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1007/s11661-010-0395-z,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2014.02.036,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.actamat.2006.11.009,journal_article,Acta Materialia,Elsevier BV,True,False,True
10.1016/j.scriptamat.2004.07.020,journal_article,Scripta Materialia,Elsevier BV,True,False,True
10.1016/j.ijmecsci.2015.10.004,journal_article,International Journal of Mechanical Sciences,Elsevier BV,True,False,True
10.1016/j.msea.2007.10.083,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2006.11.047,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.msea.2008.07.028,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.mseb.2012.04.008,journal_article,Materials Science and Engineering: B,Elsevier BV,True,False,True
10.1007/s10853-007-1604-z,journal_article,Journal of Materials Science,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2014.06.037,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2004.02.052,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2016.05.022,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.actamat.2004.06.023,journal_article,Acta Materialia,Elsevier BV,True,False,True
10.1016/j.matdes.2017.07.013,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1016/j.msea.2014.09.094,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2009.08.032,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2013.09.005,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2014.05.021,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2016.03.131,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/s0921-5093(02)00158-2,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1007/s11665-014-0936-5,journal_article,Journal of Materials Engineering and Performance,Springer Science and Business Media LLC,True,True,True
10.1016/j.msea.2017.12.067,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2018.01.040,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jallcom.2012.03.108,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.jallcom.2018.05.085,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.matchar.2005.04.007,journal_article,Materials Characterization,Elsevier BV,True,False,True
10.1016/j.matchar.2006.03.003,journal_article,Materials Characterization,Elsevier BV,True,False,True
10.1016/j.matchar.2018.04.029,journal_article,Materials Characterization,Elsevier BV,True,False,True
10.1016/j.engfracmech.2006.12.031,journal_article,Engineering Fracture Mechanics,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2018.06.022,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1007/s11661-009-0069-x,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.scriptamat.2008.11.032,journal_article,Scripta Materialia,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2006.03.192,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,False
10.1016/j.matdes.2015.08.050,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1007/s11661-011-1044-x,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,True,True,True
10.1016/j.matdes.2015.05.074,journal_article,Materials & Design,Elsevier BV,True,False,True
10.1016/j.msea.2015.11.075,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,False
10.1016/j.msea.2004.01.134,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2015.06.023,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2007.06.047,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.msea.2007.07.048,journal_article,Materials Science and Engineering: A,Elsevier BV,True,False,True
10.1016/j.jmatprotec.2007.12.036,journal_article,Journal of Materials Processing Technology,Elsevier BV,True,False,True
10.1016/j.jallcom.2016.11.389,journal_article,Journal of Alloys and Compounds,Elsevier BV,True,False,True
10.1016/j.engfailanal.2008.03.002,journal_article,Engineering Failure Analysis,Elsevier BV,True,False,True
10.1016/j.scriptamat.2003.12.001,journal_article,Scripta Materialia,Elsevier BV,True,False,True
