doi,doi + link,From?,article_type,journal,publisher,Si,Si_location,Ge,Ge_location,Al,Al_location,OH,OH_location,H2O,H2O_location,HF,HF_location,SDA,SDA_location,B,B_location,Time,Time_location,Temp,Temp_location,SDA Type,SDA Type_location,Extracted,Extracted_location
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,0,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,Amorphous,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,0.16,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13+EU-1+amorphous,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,0.32,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13+EU-1,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,0.56,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,1.28,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.125,Table Column,0,Not Present,2.56,Table Column,0.25,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0,Table Column,0,Not Present,0.56,Table Column,0,Page Text,0,Not Present,288,Table Column,179.85,Table Caption,hexamethonium,Page Text,Amorphous,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.025,Table Column,0,Not Present,0.56,Table Column,0.05,Page Text,0,Not Present,120,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13 + amorphous,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.05,Table Column,0,Not Present,0.56,Table Column,0.1,Page Text,0,Not Present,120,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13 + amorphous,Table Column
10.1016/j.micromeso.2017.03.033,10.1016/j.micromeso.2017.03.033,Table,journal_article,Microporous and Mesoporous Materials,Elsevier BV,1,Table Column,0.05,Table Caption,0.02,Table Column,0.1,Table Column,0,Not Present,0.56,Table Column,0.2,Page Text,0,Not Present,72,Table Column,179.85,Table Caption,hexamethonium,Page Text,ITQ-13 + amorphous,Table Column
