doi,Si,Si_location,Ge,Ge_location,Al,Al_location,OH,OH_location,H2O,H2O_location,HF,HF_location,SDA,SDA_location,B,B_location,Time,Time_location,Temp,Temp_location,SDA Type,SDA Type_location,Extracted,Extracted_location,From?,Page in paper,Train/Test
10.1021/acs.cgd.8b00078,1,Table Column,1.499,Table Column,0.0,Not Present,0.0,Not Present,19.992,Table Column,1.25,Table Column,1.25,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,quartz + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,13.336,Table Column,0.834,Table Column,0.834,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,quartz + argutite + IM-18,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.333,Table Column,0.0,Not Present,0.0,Not Present,10.664,Table Column,0.666,Table Column,0.666,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,IM-18 + argutite + quartz,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.25,Table Column,0.0,Not Present,0.0,Not Present,10.0,Table Column,0.625,Table Column,0.625,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,IM-18,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.111,Table Column,0.0,Not Present,0.0,Not Present,8.888,Table Column,0.555,Table Column,0.555,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,ZSM-48 + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.053,Table Column,0.0,Not Present,0.0,Not Present,8.424,Table Column,0.526,Table Column,0.526,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,ZSM-48 + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.0,Table Column,0.0,Not Present,0.0,Not Present,8.0,Table Column,0.5,Table Column,0.5,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,ZSM-48,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,13.336,Table Column,0.834,Table Column,0.417,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,quartz + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,13.336,Table Column,0.834,Table Column,1.25,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,IM-18 + argutite + quartz,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,13.336,Table Column,0.834,Table Column,1.667,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,IM-18 + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,13.336,Table Column,1.667,Table Column,1.667,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,argutite + IM-18,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.25,Table Column,0.0,Not Present,0.0,Not Present,10.0,Table Column,1.25,Table Column,1.25,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,IM-18 + NON + cristobalite + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.25,Table Column,0.0,Not Present,0.0,Not Present,10.0,Table Column,0.312,Table Column,0.312,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,ZSM-48 + argutite,Table Column,Table,2,
10.1021/acs.cgd.8b00078,1,Table Column,0.667,Table Column,0.0,Not Present,0.0,Not Present,33.34,Table Column,1.667,Table Column,1.667,Table Column,0.0,Not Present,336.0,Table Caption,170.0,Table Caption,4-dimethylaminopyridine,Page Text,argutite + quartz + IM-18,Table Column,Table,2,
